frame,timestamp_sec,player_id,visibility_mean,visibility_min,visibility_left_arm,visibility_right_arm,angle_trunk_lean,angle_elbow_dom,angle_elbow_left,angle_elbow_right,angle_knee_front,angle_knee_back,com_height,hand_height,hand_height_left,hand_height_right,stance_length,v_hand_speed,v_hand_speed_left,v_hand_speed_right,v_torso_x,v_com_y
0,0.0,1,0.7756,0.1892,0.4855,0.9363,-39.08,70.87,75.24,70.87,156.78,,0.4848,0.4768,0.5219,0.4768,0.0073,,,,,
0,0.0,2,0.8045,0.0385,0.6266,0.6114,5.06,,30.17,75.87,170.14,161.36,0.3736,,0.4133,0.4223,0.0256,,,,,
8,0.16,1,0.7746,0.1853,0.4816,0.9318,-40.03,68.06,73.24,68.06,158.81,,0.4851,0.4782,0.5186,0.4782,0.0247,0.0102,0.0484,0.0102,0.0044,0.002
8,0.16,2,0.8049,0.042,0.6204,0.6167,5.85,,55.16,94.98,173.26,161.26,0.3733,,0.4082,0.4133,0.0261,,0.0472,0.0593,0.0,-0.0021
16,0.32,1,0.7848,0.1826,0.478,0.9338,-40.41,62.5,76.66,62.5,,111.91,0.495,0.4808,0.5157,0.4808,0.0251,0.0168,0.0427,0.0168,0.0024,0.0614
16,0.32,2,0.8052,0.0434,0.6173,0.6194,7.47,,55.92,119.11,173.51,160.6,0.3731,,0.4073,0.3958,0.0272,,0.0073,0.11,-0.0019,-0.0009
24,0.48,1,0.7932,0.1738,0.4704,0.9343,-41.77,60.19,70.77,60.19,,98.28,0.497,0.4813,0.5121,0.4813,0.0313,0.0029,0.0273,0.0029,0.0012,0.0127
24,0.48,2,0.8054,0.0446,0.6124,0.6196,8.25,,61.55,125.46,172.99,161.14,0.3737,,0.4073,0.3928,0.0288,,0.006,0.0197,-0.0024,0.0036
32,0.64,1,0.7988,0.1686,0.465,0.9358,-43.8,62.04,76.55,62.04,164.74,114.6,0.4832,0.4803,0.5125,0.4803,0.0291,0.0059,0.0395,0.0059,-0.0034,-0.0864
32,0.64,2,0.8053,0.0445,0.605,0.6211,8.39,,59.44,56.77,171.89,161.51,0.3747,,0.4105,0.432,0.0288,,0.0225,0.2474,-0.0045,0.0065
40,0.8,1,0.7991,0.1602,0.4575,0.9308,-45.07,60.03,56.68,60.03,164.83,131.58,0.4816,0.4808,0.5105,0.4808,0.0237,0.0039,0.0866,0.0039,0.0004,-0.0095
40,0.8,2,0.8054,0.0504,0.5958,0.6236,8.45,,23.42,50.14,178.81,163.88,0.3786,,0.4335,0.4874,0.0286,,0.1443,0.3486,0.0005,0.0238
48,0.96,1,0.7992,0.1645,0.4558,0.935,-44.43,66.57,86.59,66.57,162.77,130.03,0.48,0.4805,0.4999,0.4805,0.025,0.0032,0.1696,0.0032,-0.0032,-0.0101
48,0.96,2,0.8103,0.0773,0.5925,0.6436,7.14,,107.71,76.33,175.49,167.38,0.3795,,0.4086,0.4777,0.0334,,0.1572,0.148,-0.0046,0.006
56,1.12,1,0.804,0.1991,0.4707,0.9409,-36.7,81.99,107.95,81.99,158.99,140.24,0.4813,0.487,0.487,0.487,0.0305,0.042,0.083,0.042,0.0241,0.0082
56,1.12,2,0.815,0.1067,0.6241,0.6399,3.12,,4.43,152.02,175.3,171.27,0.3759,,0.4944,0.3956,0.0393,,0.5364,0.5132,-0.0048,-0.0228
64,1.28,1,0.8138,0.2221,0.481,0.9459,-24.66,113.08,131.7,113.08,167.83,140.75,0.5082,0.5005,0.5149,0.5005,0.0097,0.1013,0.1854,0.1013,0.015,0.1676
64,1.28,2,0.8231,0.1724,0.6612,0.6654,-1.46,,153.17,163.41,173.62,166.94,0.3653,,0.5267,0.3475,0.0393,,0.2165,0.3009,-0.0002,-0.0659
72,1.44,1,0.8095,0.2167,0.475,0.9478,-17.44,105.26,88.07,105.26,159.93,149.97,0.5023,0.5023,0.5271,0.5023,0.0289,0.1024,0.1294,0.1024,0.0258,-0.0368
72,1.44,2,0.8316,0.2394,0.6949,0.692,-3.82,,138.57,141.72,175.59,165.35,0.3632,,0.5078,0.3588,0.0414,,0.17,0.1452,0.0306,-0.0133
80,1.6,1,0.8105,0.2397,0.4861,0.9515,-10.5,120.58,101.35,120.58,163.32,,0.517,0.5032,0.5524,0.5032,0.0222,0.0506,0.1582,0.0506,0.0176,0.0921
80,1.6,2,0.8412,0.3038,0.7253,0.7179,-3.12,,154.07,67.54,154.27,166.33,0.3656,,0.4563,0.424,0.0462,,0.3298,0.4189,0.0278,0.0148
